,zipcode,population,sex_ratio
0,81324,"1,374",147.6
0,82930,"14,872",104.5
0,83312,74,393.3
0,83342,"1,252",112.9
0,84001,688,84.9
0,84002,314,75.4
0,84003,"51,917",103.4
0,84004,"10,573",98.6
0,84005,"34,422",105.7
0,84006,839,87.3
0,84007,722,101.7
0,84010,"46,326",99.0
0,84013,910,120.3
0,84014,"17,527",97.8
0,84015,"67,245",107.0
0,84017,"4,569",106.3
0,84018,284,102.9
0,84020,"48,594",106.4
0,84021,"3,793",112.6
0,84022,672,134.1
0,84023,167,183.1
0,84024,44,100.0
0,84025,"24,497",101.7
0,84026,"1,306",98.2
0,84027,587,106.0
0,84028,573,73.1
0,84029,"11,844",127.5
0,84031,210,136.0
0,84032,"24,229",103.7
0,84033,"1,156",107.2
0,84034,206,58.5
0,84035,343,101.8
0,84036,"7,754",106.7
0,84037,"39,119",108.3
0,84038,407,126.1
0,84039,664,91.9
0,84040,"25,376",94.4
0,84041,"51,512",104.0
0,84042,"11,135",106.1
0,84043,"67,436",101.1
0,84044,"27,029",98.4
0,84045,"31,199",111.8
0,84046,412,102.0
0,84047,"33,454",98.9
0,84049,"5,883",107.3
0,84050,"11,666",106.0
0,84051,547,130.8
0,84052,"1,457",90.0
0,84053,"1,133",87.3
0,84054,"20,516",101.3
0,84055,"1,503",107.6
0,84056,"3,568",107.4
0,84057,"40,565",99.2
0,84058,"42,952",108.2
0,84060,"8,684",113.1
0,84061,292,178.1
0,84062,"47,591",108.5
0,84063,152,94.9
0,84064,"1,007",115.2
0,84065,"46,338",99.7
0,84066,"12,573",102.5
0,84067,"40,009",105.6
0,84069,479,92.4
0,84070,"30,595",102.1
0,84071,"1,806",86.2
0,84072,340,98.8
0,84073,271,113.4
0,84074,"53,254",96.1
0,84075,"30,427",97.9
0,84076,451,112.7
0,84078,"29,654",101.4
0,84080,349,123.7
0,84081,"50,158",109.4
0,84082,"1,079",92.0
0,84083,"1,384",128.0
0,84084,"38,463",98.4
0,84085,473,97.9
0,84086,428,101.9
0,84087,"15,976",97.8
0,84088,"38,761",99.4
0,84092,"28,699",105.4
0,84093,"24,140",107.6
0,84094,"29,586",102.8
0,84095,"73,808",93.6
0,84096,"53,693",95.5
0,84097,"22,994",95.8
0,84098,"19,395",99.1
0,84101,"5,202",148.4
0,84102,"19,016",109.7
0,84103,"22,881",108.8
0,84104,"26,761",102.6
0,84105,"22,812",101.2
0,84106,"35,166",100.0
0,84107,"34,914",92.5
0,84108,"21,864",92.8
0,84109,"25,217",101.4
0,84111,"13,030",115.1
0,84112,"2,402",127.0
0,84113,190,66.7
0,84115,"27,627",96.3
0,84116,"34,588",113.6
0,84117,"23,799",92.2
0,84118,"71,133",98.0
0,84119,"53,536",113.0
0,84120,"51,130",104.6
0,84121,"39,895",90.9
0,84123,"38,082",104.0
0,84124,"22,884",90.8
0,84128,"27,921",89.9
0,84144,437,90.8
0,84180,0,-
0,84301,721,116.5
0,84302,"26,259",103.4
0,84304,120,37.9
0,84305,691,105.7
0,84306,269,67.1
0,84307,969,99.0
0,84308,253,80.7
0,84309,396,97.0
0,84310,"4,653",126.3
0,84311,724,95.7
0,84312,"4,766",92.5
0,84313,62,93.8
0,84314,"1,211",96.3
0,84315,"9,218",105.1
0,84316,347,82.6
0,84317,"2,536",127.4
0,84318,"4,883",91.8
0,84319,"8,961",108.1
0,84320,"2,609",106.1
0,84321,"46,634",97.3
0,84324,"1,017",96.0
0,84325,"2,174",92.2
0,84326,"1,892",103.4
0,84327,800,122.8
0,84328,"1,440",110.5
0,84329,127,92.4
0,84330,380,91.9
0,84331,262,122.0
0,84332,"7,945",102.8
0,84333,"2,896",100.1
0,84334,212,120.8
0,84335,"13,713",100.1
0,84336,317,108.6
0,84337,"13,390",112.2
0,84338,546,73.3
0,84339,"5,830",95.8
0,84340,"3,207",104.3
0,84341,"24,949",106.9
0,84401,"41,324",100.9
0,84403,"36,762",102.9
0,84404,"64,249",101.6
0,84405,"33,402",96.0
0,84414,"31,210",93.4
0,84501,"12,983",101.4
0,84511,"4,695",100.6
0,84512,822,121.6
0,84513,"1,426",103.1
0,84515,0,-
0,84516,84,78.7
0,84518,831,78.7
0,84520,"1,261",121.6
0,84521,761,101.3
0,84522,344,175.2
0,84523,"1,719",82.1
0,84525,814,106.1
0,84526,"4,114",95.7
0,84528,"2,867",120.2
0,84529,119,32.2
0,84530,255,73.5
0,84531,776,98.0
0,84532,"10,103",99.7
0,84533,105,81.0
0,84534,"2,714",97.2
0,84535,"3,354",103.9
0,84536,"1,239",95.1
0,84537,"1,253",115.3
0,84539,328,95.2
0,84540,99,70.7
0,84542,"1,596",101.0
0,84601,"33,771",106.4
0,84604,"46,099",93.6
0,84606,"37,351",94.6
0,84620,916,112.5
0,84621,111,246.9
0,84622,"1,604",108.0
0,84623,454,127.0
0,84624,"5,641",100.7
0,84626,466,75.2
0,84627,"7,563",85.0
0,84628,669,97.3
0,84629,"3,309",94.5
0,84630,522,107.1
0,84631,"2,912",115.5
0,84632,"1,158",94.0
0,84633,"1,032",95.1
0,84634,"3,657",362.3
0,84635,927,90.3
0,84636,578,115.7
0,84637,796,144.2
0,84638,362,96.7
0,84639,908,97.4
0,84640,127,86.8
0,84642,"3,790",104.4
0,84643,507,97.3
0,84645,"3,204",115.3
0,84646,"1,592",95.1
0,84647,"4,063",108.1
0,84648,"6,659",100.9
0,84649,"1,047",88.3
0,84651,"27,142",105.4
0,84652,770,112.7
0,84653,"9,481",110.2
0,84654,"2,886",130.1
0,84655,"13,877",106.3
0,84656,367,103.9
0,84657,430,152.9
0,84660,"42,535",99.4
0,84662,"1,477",73.4
0,84663,"34,642",94.2
0,84664,"9,994",116.8
0,84665,683,187.0
0,84667,418,115.5
0,84701,"8,877",101.1
0,84710,363,166.9
0,84711,826,91.6
0,84712,111,126.5
0,84713,"3,480",107.6
0,84714,631,85.0
0,84715,316,95.1
0,84716,471,81.9
0,84718,350,78.6
0,84719,43,115.0
0,84720,"22,132",99.0
0,84721,"25,286",98.2
0,84722,940,142.3
0,84723,880,96.0
0,84724,"1,110",97.2
0,84725,"1,602",89.1
0,84726,764,98.4
0,84728,46,84.0
0,84729,427,66.8
0,84730,435,96.8
0,84731,78,105.3
0,84732,45,309.1
0,84733,160,92.8
0,84734,315,87.5
0,84735,171,147.8
0,84736,249,141.7
0,84737,"19,316",109.1
0,84738,"9,493",102.1
0,84739,634,172.1
0,84740,271,168.3
0,84741,"6,180",106.6
0,84742,308,93.7
0,84743,17,41.7
0,84744,316,101.3
0,84745,"4,413",99.8
0,84746,961,105.3
0,84747,"1,224",131.8
0,84749,141,80.8
0,84750,590,90.9
0,84751,"2,370",134.2
0,84752,826,91.6
0,84753,5,-
0,84754,"4,033",104.4
0,84755,47,104.3
0,84756,326,91.8
0,84757,"1,373",106.8
0,84758,461,83.7
0,84759,"2,175",115.1
0,84760,525,92.3
0,84761,"3,556",104.4
0,84762,75,59.6
0,84763,221,102.8
0,84764,250,111.9
0,84765,"7,234",106.9
0,84766,287,81.6
0,84767,647,146.9
0,84770,"43,594",91.5
0,84772,252,117.2
0,84773,242,60.3
0,84774,"1,681",108.3
0,84775,460,109.1
0,84776,481,93.2
0,84779,760,119.0
0,84780,"27,518",91.8
0,84781,122,149.0
0,84782,638,75.8
0,84783,738,101.1
0,84784,"2,921",80.2
0,84790,"47,849",98.9
0,86044,"3,301",92.8
0,86514,"3,384",96.1
